la,lo,XJAVHRR_av,Vegetation,Variance_c,Slope,SD,Road_densi,Relative_E,Particle_s,Elevation,Distance_f,Curve_numb,Agricultur,level
40.809652,77.327271,0.0681004,0.40901,0.611668,0.251652,0.274629,0.0224947,0.0451011,0.235506,0.345888,0.0071322,0.6,0.0038218,4
40.747257,77.67334,0.0609319,0.414825,0.61139,0.184436,0.272299,0.0224947,0.11353,0.417016,0.389631,0.0058254,0.6,0.0038218,4
41.00063,78.563232,0.0573477,0.312941,0.611161,0.0815268,0.351001,0.0224947,0.0155521,0.862875,0.251847,0.0321765,0.8,0.0038218,4
39.96028,76.360474,0.0501792,0.351942,0.61188,0.283682,0.348087,0.0504555,0.124417,0.862875,0.262574,0.0462548,0.292308,0.0094804,2
36.977084,84.213467,0.0430108,0.32682,0.611461,0.174456,0.0978272,0.0129525,0.0762053,0.352714,0.366627,0.0015769,0.8,0.0009376,1
38.129426,85.575256,0.0107527,0.663022,0.611151,0.0040134,0.0879,0.0129525,0.0040436,1,0.1677,0.0169441,0.569231,0.0009376,1
37.615886,86.002975,0.0394265,0.298131,0.611334,0.104568,0.0962423,0.0129525,0.0491446,0.414658,0.318355,0.0032542,0.8,0.0009376,1
38.959409,88.26416,0.0143369,0.250678,0.611238,0.0146712,0.152831,0.0214008,0.0152411,0.509683,0.130989,0.0316085,0.8,0.0003041,1
38.5997,89.187012,0.0394265,0.29441,0.611276,0.0373936,0.132144,0.0214008,0.0133748,0.862875,0.401192,0.0416909,0.8,0.0003041,2
38.268915,77.278519,0.0107527,0.546794,0.611153,0.0067391,0.159491,0.0889279,0.0034215,0.240826,0.165793,0.0041783,0.646154,0.101779,1
39.711413,75.242615,0.0537634,0.297123,0.611204,0.0278499,0.549321,0.0706866,0.0186625,0.28572,0.272944,0.0091439,0.6,0.0007498,2
39.724353,75.258408,0.0537634,0.408622,0.611202,0.024128,0.549321,0.0706866,0.022084,0.28572,0.276162,0.002302,0.6,0.0007498,2
37.087759,81.684698,0.0107527,0.280453,0.611163,0.0024842,0.134417,0.0149816,0.0049767,1,0.180334,0.0246054,0.646154,0.006017,1
36.463539,81.949081,0.0322581,0.29976,0.61128,0.045112,0.125096,0.0149816,0.0311042,0.306999,0.305721,0.0062144,0.646154,0.006017,2
36.06931,82.141633,0.078853,0.267969,0.61143,0.255961,0.1184,0.0149816,0.0239502,0.692212,0.563528,0.0608184,0.646154,0.006017,2
36.135803,81.971345,0.078853,0.276809,0.611551,0.232826,0.120803,0.0149816,0.352411,0.362667,0.640167,0.024798,0.646154,0.006017,2
47.899772,88.124084,0.483871,0.478561,0.611534,0.128393,0.956547,0.0810763,0.0466563,0.235506,0.142789,0.0061379,0.6,0.0303656,1
47.731242,88.220558,0.448029,0.55509,0.611344,0.0222515,0.972677,0.0810763,0.0118196,0.329067,0.106198,0.0010566,0.6,0.0303656,1
47.709762,87.813721,0.412186,0.362255,0.611488,0.0645307,0.902549,0.0810763,0.0506998,0.862875,0.106198,0.0145824,0.6,0.0303656,2
48.195387,87.231445,0.473118,0.642087,0.611775,0.06526,0.682307,0.0709445,0.0678072,0.211423,0.13671,0.0007026,0.6,0.0168947,2
46.995241,88.395996,0.383513,0.343568,0.611172,0.0043429,0.759046,0.0427118,0.007154,0.37126,0.105125,0.133685,0.292308,0.0123335,1
47.224319,89.742422,0.476703,0.435062,0.611199,0.100009,0.907155,0.0889897,0.0080871,0.211423,0.156019,0.0080724,0.738462,0.0039985,1
47.012362,89.829025,0.480287,0.524308,0.611197,0.0459656,0.914125,0.0889897,0.0015552,0.211423,0.176639,0.002384,0.738462,0.0039985,2
46.999105,89.529476,0.419355,0.329379,0.611269,0.0471831,0.934041,0.0889897,0.0087092,0.204586,0.114541,0.016511,0.846154,0.0039985,1
46.331847,89.543896,0.344086,0.721873,0.61121,0.0314013,0.819023,0.0889897,0.0049767,0.310116,0.117521,0.0035063,0.6,0.0039985,1
46.410582,88.693314,0.34767,0.531674,0.611223,0.0138065,0.724261,0.0889897,0.0012442,0.701085,0.101549,0.002822,0.6,0.0039985,1
46.51322,88.532596,0.34767,0.618438,0.611134,0.0009087,0.722549,0.0889897,0.0012442,0.701085,0.0972586,0.0073026,0.6,0.0039985,1
46.174779,89.9264,0.293907,0.688687,0.611237,0.0048961,0.79357,0.0889897,0.0037325,0.35262,0.121454,0.0069738,0.8,0.0039985,1
47.19884,89.305372,0.458781,0.591378,0.611285,0.0507145,0.905677,0.0889897,0.0258165,0.216732,0.140048,0.0035805,0.738462,0.0039985,1
47.294134,86.396484,0.333333,0.377219,0.611295,0.0297138,0.738044,0.070954,0.0230171,0.862875,0.148629,0.0193196,0.292308,0.0181317,5
47.208374,85.896606,0.290323,0.645266,0.611355,0.0843938,0.683982,0.070954,0.0699845,0.204586,0.237664,0.0091047,0.6,0.0181317,5
47.142095,86.798859,0.21147,0.382027,0.611308,0.0317787,0.786724,0.070954,0.02986,0.329067,0.122408,0.025637,0.753846,0.0181317,2
43.589872,92.609639,0.0896057,0.33721,0.611228,0.0284684,0.317539,0.0402389,0.0230171,0.235506,0.228367,0.0096173,0.292308,0.0076156,1
43.535358,93.425245,0.272401,0.482128,0.611172,0.0319126,0.308561,0.0402389,0.0102644,0.235506,0.237783,0.0120753,0.569231,0.0076156,1
43.336166,93.659821,0.268817,0.781577,0.611579,0.156007,0.256861,0.0266013,0.110109,0.352111,0.314422,0.0112988,0.292308,0.0052013,1
43.201641,93.717027,0.0537634,0.423664,0.611585,0.255741,0.235345,0.0266013,0.160498,0.37126,0.266508,0.0132039,0.6,0.0052013,0
43.165123,94.384918,0.0967742,0.582073,0.611284,0.173631,0.401995,0.0201917,0.157698,0.224181,0.399404,0.0061937,0.292308,0.0022547,1
45.171479,85.054264,0.258065,0.633481,0.611197,0.0022567,0.429649,0.192004,0.0037325,0.28598,0.0538737,0.0877233,0.6,0.0486053,1
38.822591,75.498047,0.0716846,0.287199,0.61142,0.238072,0.317895,0.036259,0.151477,0.352714,0.312038,0.0274222,0.8,0.0106447,2
38.341656,76.223145,0.0573477,0.339149,0.611371,0.192999,0.25673,0.036259,0.0771384,0.352714,0.353278,0.0026442,0.6,0.0106447,2
39.098894,75.787382,0.046595,0.578274,0.61117,0.0113774,0.29481,0.036259,0.0093313,0.28572,0.183433,0.0008101,0.569231,0.0106447,1
38.663162,74.95388,0.215054,0.292006,0.611181,0.0260639,0.319091,0.036259,0.0049767,0.362667,0.410369,0.0057825,0.8,0.0106447,2
38.032577,75.942178,0.0681004,0.282934,0.611714,0.171283,0.253387,0.036259,0.0454121,0.37126,0.338021,0.0057659,0.8,0.0106447,1
39.161745,75.898705,0.0358423,0.650306,0.611162,0.0037438,0.268931,0.036259,0.0049767,0.350615,0.174374,0.0052516,0.738462,0.0106447,1
46.392766,83.564072,0.275986,0.682019,0.611219,0.0083063,0.61901,0.0732078,0.0018662,0.0957942,0.0737783,0.0083176,0.6,0.131598,2
46.392026,83.565059,0.275986,0.682019,0.611219,0.0083063,0.61901,0.0732078,0.0018662,0.0957942,0.0737783,0.0083176,0.6,0.131598,2
46.509794,83.632522,0.362007,0.709933,0.611193,0.0051032,0.63712,0.0732078,0.0009331,0.39793,0.0764005,0.0027414,0.6,0.131598,1
46.215209,83.439016,0.250896,0.41467,0.611305,0.0119136,0.562944,0.0491976,0.01493,0.329067,0.0783075,0.012741,0.6,0.0105269,2
46.108529,83.616686,0.37276,0.697527,0.611258,0.0145154,0.497806,0.0491976,0.0108865,0.329067,0.106079,0.0202099,0.6,0.0105269,1
46.215239,83.438931,0.250896,0.41467,0.611305,0.0119136,0.562944,0.0491976,0.01493,0.329067,0.0783075,0.012741,0.6,0.0105269,1
45.939064,83.612566,0.326165,0.546174,0.611292,0.0335751,0.462358,0.0491976,0.0183515,0.235506,0.148153,0.0125199,0.846154,0.0105269,1
46.229401,83.371081,0.250896,0.577964,0.611389,0.01991,0.572663,0.0491976,0.0136858,0.524593,0.0750894,0.0268702,0.738462,0.0105269,2
45.826527,83.317094,0.240143,0.389005,0.611203,0.0238195,0.501085,0.0491976,0.0255054,0.235506,0.189988,0.0051528,0.292308,0.0105269,1
46.16937,83.209763,0.304659,0.429092,0.611373,0.0291182,0.609001,0.0427868,0.0289269,0.329067,0.105244,0.0074758,0.6,0.063541,1
46.205854,82.992053,0.344086,0.48616,0.611304,0.0213163,0.678565,0.0427868,0.0230171,0.524593,0.103218,0.0065526,0.846154,0.063541,1
46.34989,83.006644,0.272401,0.634721,0.611262,0.007107,0.669253,0.0427868,0.0090202,0.310116,0.0710369,0.0428309,0.738462,0.063541,1
46.388001,82.901459,0.286738,0.498721,0.611241,0.0137732,0.67411,0.0427868,0.0031104,0.402668,0.067938,0.0328267,0.6,0.063541,1
46.236882,83.066082,0.304659,0.431418,0.61131,0.0255355,0.668976,0.0427868,0.0242613,0.524593,0.0953516,0.0036653,0.6,0.063541,1
46.452997,82.74353,0.304659,0.379701,0.611334,0.0181974,0.670983,0.0427868,0.0037325,0.292609,0.0671037,0.0064872,0.6,0.063541,1
43.784542,82.511916,0.290323,0.557416,0.61117,0.0104853,0.672363,0.131366,0.007776,0.382044,0.146603,0.0086913,0.6,0.0394589,1
43.794393,82.704692,0.293907,0.682329,0.611168,0.00878,0.659356,0.131366,0.007154,0.235506,0.158522,0.0110056,0.292308,0.0394589,1
43.800898,82.498698,0.297491,0.782663,0.61117,0.0289638,0.672363,0.131366,0.0105754,0.382044,0.146961,0.0086913,0.769231,0.0394589,1
43.86136,82.196059,0.301075,0.80383,0.61139,0.0210939,0.59188,0.131366,0.0152411,0.235506,0.133969,0.0030938,0.6,0.0394589,1
43.75166,82.636027,0.301075,0.697914,0.611175,0.0057677,0.669324,0.131366,0.0068429,0.235506,0.153278,0.0063965,0.292308,0.0394589,1
43.527984,82.866955,0.286738,0.823292,0.611201,0.007107,0.601156,0.131366,0.0012442,0.395333,0.1118,0.0014953,0.846154,0.0394589,1
43.181147,83.518066,0.605735,0.760875,0.611277,0.130026,0.591677,0.189596,0.156765,0.302063,0.36758,0.0020226,0.292308,0.0863654,2
43.92528,87.507619,0.261649,0.637745,0.611284,0.0152027,0.43405,0.17686,0.0136858,0.424154,0.0927294,0.0199979,0.846154,0.0413166,2
44.299282,85.858841,0.336918,0.815228,0.611203,0.0054991,0.539222,0.130436,0.007465,0.26013,0.072348,0.0224796,0.6,0.132863,2
40.946714,78.239136,0.0537634,0.302396,0.611304,0.0646624,0.343109,0.0224947,0.0933126,0.862875,0.304887,0.0108834,0.8,0.0038218,4
36.650793,82.902832,0.0394265,0.290067,0.611251,0.0508874,0.109763,0.0134895,0.0451011,0.306999,0.315971,0.0132966,0.8,0.0006075,1
38.419066,75.064344,0.18638,0.352252,0.611291,0.106294,0.288106,0.036259,0.0469673,0.306999,0.468772,0.0094489,0.8,0.0106447,1
38.66333,74.953752,0.215054,0.292006,0.611181,0.0260639,0.319091,0.036259,0.0049767,0.362667,0.410369,0.0057825,0.8,0.0106447,2
47.219568,86.638184,0.25448,0.387299,0.611371,0.0409364,0.815853,0.070954,0.0398134,0.329067,0.140405,0.0529698,0.6,0.0181317,5
45.03702,81.311789,0.333333,0.868109,0.611232,0.0168333,0.429621,0.0410487,0.0093313,0.28864,0.140167,0.0049923,0.6,0.0477426,1
47.012654,89.829111,0.480287,0.524308,0.611197,0.0459656,0.914125,0.0889897,0.0015552,0.211423,0.176639,0.002384,0.738462,0.0039985,2
47.827908,85.770264,0.329749,0.428627,0.611203,0.0178242,0.701447,0.070954,0.0096423,1,0.0790226,0.0622244,0.753846,0.0181317,5
36.244273,80.763245,0.0430108,0.344964,0.611275,0.0676383,0.110846,0.0082835,0.0926905,0.862875,0.349344,0.0165867,0.8,0.0045557,1
43.713953,93.106771,0.308244,0.852369,0.61116,0.0093488,0.364214,0.0402389,0.007154,0.377816,0.215733,0.0254903,0.6,0.0076156,1
42.126747,81.677856,0.0860215,0.358843,0.611428,0.255176,0.418919,0.0498189,0.142768,0.235506,0.297735,0.0069331,0.6,0.0390391,1
45.521744,82.578735,0.111111,0.426688,0.61148,0.122014,0.329526,0.0427868,0.0849145,0.329067,0.187008,0.0246277,0.6,0.063541,2
48.429201,87.51709,0.637993,0.890207,0.611307,0.0759719,0.720421,0.0709445,0.044479,0.216732,0.231585,0.0045337,0.6,0.0168947,2
43.279267,82.688169,0.362007,0.848182,0.61136,0.0202631,0.556231,0.132134,0.0121306,0.211423,0.145173,0.0075178,0.6,0.0878689,1
43.278736,82.549682,0.333333,0.820733,0.611517,0.104226,0.531069,0.132134,0.0127527,0.204586,0.139452,0.0037123,0.769231,0.0878689,1
43.52842,82.866955,0.286738,0.823292,0.611201,0.007107,0.601156,0.131366,0.0012442,0.395333,0.1118,0.0014953,0.846154,0.0394589,1
43.380255,83.868856,0.275986,0.781422,0.611195,0.0234697,0.509671,0.189596,0.0121306,0.211423,0.148033,0.0019055,0.6,0.0863654,1
43.42556,83.522444,0.311828,0.813522,0.611396,0.0186804,0.640792,0.189596,0.0099533,0.288193,0.127056,0.0015363,0.738462,0.0863654,1
43.44566,83.262463,0.301075,0.621307,0.611266,0.0148026,0.691518,0.189596,0.007465,0.204586,0.119547,0.0110534,0.769231,0.0863654,1
43.418983,83.262849,0.315412,0.557572,0.611456,0.0430371,0.686168,0.189596,0.0348367,0.28572,0.131824,0.0110534,0.292308,0.0863654,1
43.430983,84.534302,0.580645,0.327285,0.611362,0.0515927,0.480261,0.131366,0.279316,0.493735,0.451371,0.0047913,0.292308,0.0394589,2
43.480826,87.429199,0.204301,0.780492,0.611234,0.0283681,0.500531,0.17686,0.0348367,0.204586,0.220501,0.0036068,0.6,0.0413166,2
46.658332,83.759165,0.401434,0.517485,0.611256,0.0126351,0.626879,0.0732078,0.0087092,0.329067,0.0912992,0.0034728,0.738462,0.131598,1
44.048116,83.111572,0.55914,0.758006,0.611651,0.22068,0.51155,0.131366,0.103266,0.493735,0.344934,0.0057701,0.6,0.0394589,1
44.209773,86.286621,0.344086,0.642785,0.611263,0.0206479,0.551657,0.122109,0.0090202,0.108459,0.0820024,0.0069952,0.738462,0.116435,3
43.798018,81.859989,0.247312,0.899822,0.611141,0.0064617,0.716458,0.120299,0.007465,0.281367,0.113111,0.0029995,0.6,0.157209,2
43.772147,81.810164,0.265233,0.869892,0.611171,0.0066252,0.725041,0.120299,0.0068429,0.159307,0.110727,0.0163027,0.6,0.157209,2
44.22552,86.050415,0.340502,0.664263,0.611296,0.0191641,0.548698,0.233884,0.0208398,0.422554,0.0862932,0.0101356,0.6,0.381208,1
43.991703,86.770878,0.354839,0.450958,0.611342,0.01649,0.451569,0.0865897,0.0136858,0.424154,0.117759,0.022821,0.6,0.10431,3
43.877046,86.393566,0.232975,0.529425,0.61146,0.0642538,0.517429,0.0865897,0.0547434,0.211423,0.184863,0.0099421,0.6,0.10431,1
44.154961,89.998841,0.344086,0.526867,0.611191,0.0060873,0.416152,0.0885723,0.0096423,0.377016,0.109178,0.0043759,0.292308,0.0685026,1
44.268805,86.671143,0.336918,0.5806,0.611164,0.0009087,0.458884,0.0865897,0.0015552,0.424154,0.0764005,0.0132361,0.6,0.10431,1
44.933696,80.639648,0.225806,0.506862,0.611705,0.189177,0.49374,0.0410487,0.138725,0.186768,0.284148,0.0089931,0.6,0.0477426,2
47.546872,86.088867,0.301075,0.330309,0.611294,0.0120745,0.733597,0.070954,0.0217729,0.329067,0.11764,0.0168142,0.292308,0.0181317,5
43.76316,81.057129,0.283154,0.443204,0.611212,0.0071204,0.753206,0.0507009,0.0080871,0.395333,0.0983313,0.0160192,0.6,0.149229,1
43.405047,82.304077,0.229391,0.693495,0.611269,0.0257444,0.440906,0.132134,0.0102644,0.225158,0.113468,0.0052796,0.738462,0.0878689,1
44.801327,85.995483,0.315412,0.335349,0.611227,0.0040134,0.461391,0.122109,0.0040436,1,0.0611442,0.0536385,0.292308,0.116435,3
44.621754,86.923828,0.336918,0.316198,0.611154,0.0019951,0.44079,0.0865897,0.0018662,0.349628,0.0653159,0.0798332,0.6,0.10431,3
43.963816,87.666779,0.27957,0.620299,0.611309,0.0214164,0.42899,0.0884083,0.01493,0.424154,0.0914184,0.0104844,0.846154,0.0371514,2
44.370987,89.044189,0.315412,0.364581,0.611144,0.0015097,0.389101,0.0930207,0.0027994,1,0.0860548,0.0448147,0.292308,0.0670652,1
46.331758,84.539795,0.11828,0.330309,0.61144,0.0564843,0.469526,0.0732078,0.066563,0.329067,0.141597,0.0219892,0.6,0.131598,2
45.767523,82.63916,0.344086,0.898581,0.61152,0.168777,0.475888,0.0427868,0.227372,0.302063,0.33528,0.0024147,0.6,0.063541,2
47.50978,87.945557,0.376344,0.338063,0.611261,0.0050661,0.871438,0.0810763,0.0199067,0.862875,0.0860548,0.0067684,0.6,0.0303656,1
46.653443,83.07724,0.340502,0.550283,0.611177,0.0044756,0.752156,0.103625,0.0115086,0.308121,0.0766389,0.001643,0.6,0.253707,1
46.301406,84.715576,0.100358,0.292549,0.61118,0.0099487,0.423707,0.0732078,0.0040436,0.35262,0.0946365,0.0749551,0.815385,0.131598,2
45.023068,86.358032,0.286738,0.324184,0.611229,0.0101235,0.43992,0.122109,0.0068429,1,0.0603099,0.105147,0.292308,0.116435,3
44.676466,86.97876,0.322581,0.363806,0.611168,0.0031548,0.441258,0.0865897,0.0049767,0.424154,0.0653159,0.125341,0.6,0.10431,1
44.496505,90.065918,0.215054,0.298907,0.611238,0.0059614,0.428334,0.0885723,0.0052877,0.349628,0.0908224,0.212079,0.8,0.0685026,2
44.441624,85.880127,0.329749,0.759246,0.611187,0.003387,0.536713,0.130436,0.0031104,0.0764587,0.0653159,0.009367,0.569231,0.132863,2
45.344424,82.990723,0.193548,0.576956,0.611572,0.0847695,0.340729,0.0491976,0.186936,0.235506,0.249106,0.0044834,0.6,0.0105269,2
44.902578,81.112061,0.261649,0.539971,0.61133,0.0717965,0.358644,0.0410487,0.0357698,0.204586,0.188796,0.0023295,0.6,0.0477426,2
44.758436,81.589966,0.179211,0.56044,0.611355,0.0732011,0.538713,0.126858,0.0395023,0.204586,0.220501,0.0115121,0.6,0.074322,1
44.221584,90.758057,0.27957,0.337986,0.611173,0.006661,0.412179,0.0080241,0.0059098,1,0.130393,0.163265,0.8,0.0336208,1
44.095476,89.571533,0.354839,0.682872,0.611185,0.0088344,0.413702,0.0885723,0.007154,0.350615,0.10143,0.0068375,0.738462,0.0685026,2
45.236218,84.023438,0.315412,0.354268,0.611457,0.048746,0.443124,0.0491976,0.0494557,0.37126,0.0989273,0.0547243,0.6,0.0105269,2
36.461032,81.223671,0.0286738,0.274172,0.61119,0.0139234,0.115258,0.0082835,0.0167963,0.862875,0.240167,0.0304591,0.8,0.0045557,0
36.594329,79.190333,0.0322581,0.363883,0.611816,0.440965,0.133834,0.0247599,0.181026,0.279788,0.384863,0.0097912,0.6,0.0011928,0
37.500195,81.28073,0.0071685,0.276809,0.611169,0.0088669,0.108891,0.0082835,0.0006221,1,0.17056,0.0321784,0.646154,0.0045557,0
37.497182,89.083064,0.0215054,0.282624,0.611149,0.0123511,0.127008,0.0214008,0.0087092,0.1967,0.483433,0.0068511,0.8,0.0003041,0
37.690125,79.640032,0.0107527,0.284175,0.611141,0.0013301,0.134222,0.008558,0.0049767,0.862875,0.16913,0.0822907,0.815385,0.0113021,0
37.702895,81.27472,0.0107527,0.278437,0.611158,0.0026686,0.109135,0.0082835,0.0021773,1,0.167938,0.0524533,0.646154,0.0045557,0
37.758633,80.852972,0.0107527,0.276188,0.611155,0.0026172,0.109721,0.0166896,0.0024883,1,0.165316,0.226379,0.815385,0.0168894,0
37.817094,78.814162,0.0143369,0.276809,0.611134,0.0008867,0.141485,0.0296861,0.0027994,1,0.170799,0.191289,0.646154,0.0058629,0
37.800635,78.924309,0.0143369,0.275956,0.611135,0.0013769,0.143293,0.0296861,0.0040436,1,0.170799,0.202734,0.646154,0.0058629,0
37.8312,82.203775,0.0071685,0.283632,0.611314,0.0036497,0.110119,0.0149816,0.0332815,1,0.175566,0.346089,0.646154,0.006017,0
37.869909,81.007057,0.0107527,0.270373,0.611175,0.0068754,0.1087,0.0082835,0.0027994,1,0.164005,0.24395,0.646154,0.0045557,0
37.850711,89.716068,0.0286738,0.289292,0.611203,0.0466814,0.125843,0.0214008,0.0432348,0.436975,0.489511,0.0237892,0.646154,0.0003041,0
37.929741,79.969175,0.0107527,0.28084,0.611148,0.0037747,0.126584,0.008558,0.0065319,0.862875,0.16615,0.160857,0.815385,0.0113021,0
38.000783,81.133147,0.0107527,0.273319,0.611165,0.0047796,0.108838,0.0082835,0.0034215,1,0.163766,0.208557,0.646154,0.0045557,0
38.098219,79.622026,0.0107527,0.283864,0.61114,0.0043429,0.132842,0.008558,0.0040436,0.862875,0.165197,0.365604,0.815385,0.0113021,0
38.092016,80.483067,0.0107527,0.279212,0.611148,0.004234,0.119832,0.008558,0.0034215,0.182757,0.162813,0.0276257,0.815385,0.0113021,0
38.166347,81.635196,0.0071685,0.308366,0.611142,0.0027359,0.109611,0.0149816,0.0031104,1,0.162098,0.169418,0.8,0.006017,0
38.164228,82.688858,0.0071685,0.27394,0.611139,0.0029133,0.0949688,0.0134895,0.0031104,0.862875,0.162694,0.303674,0.815385,0.0006075,0
38.143043,83.635913,0.0071685,0.302551,0.611159,0.0037438,0.0690385,0.0134895,0.0012442,1,0.162574,0.0242462,0.646154,0.0006075,0
38.187133,79.002065,0.0143369,0.281461,0.611157,0.0088912,0.143423,0.0296861,0.0099533,1,0.166269,0.412908,0.646154,0.0058629,0
38.21514,79.645689,0.0107527,0.274172,0.611137,0.0005776,0.133253,0.008558,0.0012442,0.862875,0.16329,0.411985,0.646154,0.0113021,0
38.277162,82.687339,0.0071685,0.278127,0.611168,0.0039196,0.0914895,0.0134895,0.007154,1,0.162217,0.353942,0.646154,0.0006075,0
38.277391,83.46163,0.0071685,0.261301,0.611196,0.0085028,0.0633871,0.0129525,0.0068429,1,0.161263,0.164963,0.646154,0.0009376,0
38.411043,83.03368,0.0071685,0.275568,0.611203,0.0094941,0.0733381,0.0134895,0.0090202,1,0.161383,0.275014,0.646154,0.0006075,0
38.422996,80.801735,0.0071685,0.262387,0.611138,0.0015097,0.119665,0.008558,0.0009331,0.862875,0.158403,0.0144746,0.815385,0.0113021,0
38.447606,81.137919,0.0071685,0.271769,0.611167,0.0043483,0.111897,0.0166896,0.007465,1,0.158522,0.114023,0.646154,0.0168894,0
38.42531,83.948824,0.0071685,0.276809,0.611169,0.0208948,0.056022,0.0129525,0.0024883,1,0.156615,0.284529,0.646154,0.0009376,0
38.475997,81.033493,0.0071685,0.263472,0.611143,0.0013922,0.112792,0.0166896,0.0021773,1,0.155662,0.0364542,0.646154,0.0168894,0
