RF,GBDT,SVM,KNN,XGB
1.0,1.275833911207662,0.70858810972142,2.04,1.531265382183483
0.25999999999999995,0.11921915596746262,0.1203417988783921,0.16,0.1733788926154375
1.6600000000000001,1.3287429025791562,0.5511597972121018,0.6,1.5254347635433079
0.38,0.355300006305057,0.29279668054584806,0.76,0.7149953920219559
1.8,1.5127941261793145,1.4761935050998698,1.36,1.205568289756775
1.3199999999999998,1.309042308849015,1.4130169473261665,1.0,1.2407793045043944
1.8799999999999997,2.8472228714935697,2.1049293244290936,3.5200000000000005,2.2054603815078737
0.1,0.3417363550827989,0.350668215239096,0.64,0.26956249549984934
1.14,1.2105263686892864,0.5642664376298354,0.96,1.3253278981661425
2.02,1.8777146487130367,1.43317627729026,1.48,2.067294549942017
1.38,1.5177034013496593,1.4531142286747483,1.48,1.4287654399871825
1.5799999999999998,1.5621503350789867,1.246883603718806,1.16,1.6023615598678589
1.04,1.043546575669628,0.8540802294179667,0.9199999999999999,1.1838315963745116
0.64,0.49073636474954174,0.49717800743315427,0.68,0.48015492856502534
0.5599999999999999,0.5490306319374383,0.36837658183034827,1.0799999999999998,0.4951569976328756
3.2600000000000002,3.9916714065578716,2.0015348936808715,3.4,3.8405642032623293
2.2600000000000002,2.0976118004755087,1.4656452912655387,1.52,1.4502289772033692
1.06,0.9657035702963027,0.835161676292645,0.8400000000000001,1.0804386138916016
1.44,1.4164526724534574,1.4747856295308186,1.48,1.4063903212547302
1.7,2.028561496084128,1.344219491003437,1.6,2.0148980617523193
1.26,1.0265417793262608,0.918770777207326,1.08,0.9242690742015839
1.54,1.2875873257394228,1.4890494586635334,1.6800000000000002,1.087780201435089
2.46,2.4008014298493907,1.6327967223071145,1.28,2.281964087486267
1.2599999999999998,0.8569619999168898,0.6134856534946621,0.8,0.9555159628391265
1.8400000000000003,1.6277501969069097,0.3957795162895951,0.52,1.1767685174942017
0.08,0.15404726713598815,0.12386744564350453,0.27999999999999997,0.13899825076950947
0.0,0.023417814958225897,0.12192406372946551,0.0,0.0647505790264404
0.02,0.04883279575108859,0.04172241840334945,0.0,0.06811643963592359
0.06,0.0023353237521519707,0.10381495750503042,0.08,0.09207337125117192
0.02,0.028747650066574194,0.10887113144347098,0.04,0.0767656189520494
0.22000000000000003,0.14927352680413483,-0.0064565597749207445,0.04,0.22000791157697677
0.0,0.039756015504097464,-0.01886853425747893,0.0,0.04905322796112159
0.02,0.0826507662442399,0.026861668539904637,0.0,0.1304013490807847
0.02,0.0182057783956771,0.05743568435627109,0.0,-0.0005713312581065111
0.0,0.01959468906832193,0.017752159094776388,0.0,-0.008426054460869636
0.0,-0.0087341558878825,0.14609353677609324,0.0,0.00032864401291590186
0.0,-0.005602723068886727,0.017489815096621276,0.0,-0.0007166404378949664
0.08,-0.019939304608544605,-0.002944118226604808,0.0,0.019732849900901784
0.02,-0.004697202976990002,-0.0802413759495711,0.0,0.008203985004365677
0.02,-0.006775583654720798,-0.08105509934039719,0.0,-0.0011435243730375077
0.0,0.09307199673837753,0.15485338978995455,0.0,0.048375920159742236
0.0,-0.008611291438051552,-0.07270912479414138,0.0,0.0007258708537847269
0.0,0.05233732412358496,-0.0690908779857621,0.0,0.018752180588489865
0.0,-0.011948878433292351,-0.07191683274797545,0.0,-0.0051728528560488485
0.02,-0.007106025257004031,-0.09177367336211935,0.0,0.003398410850786604
0.1,0.004001891786436261,0.06374511161871539,0.08,-0.007495159276004415
0.04,0.07346402944297133,-0.06652559213057332,0.0,0.007952968499375856
0.3,0.564405648273852,0.13911671482088692,0.12,0.29802835728041827
0.0,-0.007773191902175185,0.05677963114422535,0.12,-0.008522279611497652
0.0,0.007658709285384186,-0.07325208339927429,0.0,-0.0038164550191140735
0.0,-0.016719699370137182,0.06368941633819833,0.12,-0.013645667377568315
0.0,0.013227370011630532,-0.012770687717854468,0.0,-0.00578295524319401
0.0,0.014350003118907892,0.0724015230420964,0.16,0.0017700892771244981
0.0,0.193045563991371,-0.014668911008188035,0.0,0.13563954938581446
0.12000000000000002,0.11743382349608314,0.022886671911136892,0.0,0.022226949215109926
0.0,-0.001896780317841704,0.03524134475296152,0.04,-0.01838947460782947
0.26,0.26605377335598923,0.2519264135507234,0.28,0.29809833578765393
0.7,0.7604344070970475,0.28511710251538175,0.28,0.4505702694412321
0.24,0.3585004581802907,0.01517608009798609,0.04,0.2884278129087761
0.3,0.6101984867578942,0.2721729179858697,0.24,0.32125848491123177
0.26,0.33995102835291213,0.1356124953375819,0.04,0.22767287850147114
0.26,0.4371605531293459,-0.02025974748126025,0.04,0.5171623491623905
0.3,0.30867388558172915,0.3173752882215172,0.6399999999999999,0.2919736345895217
0.2,0.3052893540502019,-0.00165509202031347,0.04,0.3110873809127952
0.24,0.23462496026829385,0.02513197347504174,0.0,0.3122726194225834
0.3,0.2570970812911425,0.02559966622325367,0.04,0.12406128914444707
0.3,0.20015306850427073,0.0841130063194302,0.0,0.1883548334284569
0.72,0.4916085203541808,0.28304979426970317,0.8400000000000001,0.5905821176289464
0.6000000000000001,0.48241645440127323,0.28095101684807033,0.6399999999999999,0.4424970256208326
0.12,0.11802682086144219,0.07428375079923014,0.0,0.10912173334072577
0.1,0.11216282986558371,0.06829950016678456,0.12,0.17583030443638564
0.18,0.37375999775050694,0.04939310152514855,0.04,0.158166722668102
0.15999999999999998,0.41403349497627895,0.10651097515025602,0.0,0.24718928557267644
0.26000000000000006,0.2672649358453335,0.18862237971805823,0.16,0.20857325968681834
0.04,0.015302346305992243,0.088184026804196,0.0,-0.002378406930074561
0.24,0.047066279676814746,0.0942997614517513,0.08,0.011510531049862039
0.0,0.07495926706404779,0.09522081665641105,0.12,0.0006006342024193146
0.48,0.42607903106009,0.35424936167005605,0.6,0.36542659436236136
0.33999999999999997,0.45337072752421104,0.39593185838803197,0.6,0.5003842275415081
0.1,0.1854882821891053,0.07655633886692108,0.36000000000000004,0.15645265523780835
0.13999999999999999,-0.02176265435847976,0.045803011001334645,0.0,-0.01464314445038326
0.36,0.42131943426453555,0.36951920765905205,0.36,0.3511213712277822
1.1199999999999999,1.42113049126197,0.6413440253144751,2.0,1.814865486038616
0.72,0.6628284082842519,0.2560475661990031,0.24000000000000005,0.5231736812274903
0.45999999999999996,0.38512422277763175,0.1366744836171947,0.32,0.38771639941260216
0.36000000000000004,0.17652476225044214,0.13893266950326727,0.24,0.15169115373573733
0.45999999999999996,0.4953874405334716,0.2880328692022533,0.32,0.42349285815726034
0.6,0.3722941486559449,0.4970635592050769,0.44000000000000006,0.4218790760263801
1.08,0.4588790081379524,0.25300264103147274,0.48,0.8026614349335432
0.9399999999999998,0.9549589959305773,0.7710275412702743,0.4,0.6872469469904899
0.6599999999999999,0.5938560969298943,0.767573060695522,0.72,0.9556649418547749
